labels,tot number of session,tot sessions duration (hrs),social media data usage (MBs),google data usage (MBs),Email data usage (MBs),youtube data usage (MBs),netflix data usage (MBs),gaming apps data usage (MBs),other apps data usage (MBs),tot downloaded data (MBs),tot uploaded data (MBs),tot data usage (MBs)
less engagement,1.0061718870545335,27.79458336193336,1.7415331784451387,7.43408791251292,2.162373216856955,21.58263044407315,21.548653132433707,209.19840486450772,410.1318498400879,232.31929277224617,39.27949538179641,271.5987881540434
much engagement,2.125829900595944,49.41479803271858,3.6417098756097253,15.040156272101783,4.344713455730172,43.00940360353495,43.12948877511834,857.7969092717595,850.322496404312,898.7527183537043,77.66997416331405,965.5298562731525
medium engagement,1.0131416512594993,28.60508024361751,1.791409237445341,7.601875205654596,2.195442781103066,22.01774466148186,21.927421999160895,612.7806824029774,420.477961463798,635.0070680468937,39.80233674080206,674.0443662320231
